"convid","cm","client","subject","open","accepted","updated","created"
961,63,314,"Appointment Reminder",FALSE,TRUE,"2016-07-19 13:44:49.635401+00","2016-07-19 01:41:19.145316+00"
962,54,537,"CHECK - IN",TRUE,TRUE,"2016-07-19 15:07:20.04729+00","2016-07-19 15:07:20.04729+00"
963,54,538,"CHECK - IN",TRUE,TRUE,"2016-07-19 15:36:43.053558+00","2016-07-19 15:34:02.142759+00"
1114,,,"New Convo 2016-07-28 at 16:58:21.256",FALSE,FALSE,"2016-07-28 17:15:26.024156+00","2016-07-28 17:00:08.644999+00"
965,28,52,"New Convo 2016-07-19 at 17:22:27.193",FALSE,TRUE,"2016-07-19 17:27:24.608617+00","2016-07-19 17:24:02.925714+00"
1101,28,52,"New Convo 2016-07-28 at 00:10:12.854",FALSE,TRUE,"2016-07-28 01:33:06.346984+00","2016-07-28 00:11:59.33454+00"
1143,28,52,"New Convo 2016-07-28 at 21:58:17.056",FALSE,TRUE,"2016-07-28 22:05:56.391284+00","2016-07-28 22:00:04.718553+00"
1102,28,52,"New Convo 2016-07-28 at 01:32:19.011",FALSE,TRUE,"2016-07-28 01:35:30.814992+00","2016-07-28 01:34:05.567675+00"
969,63,529,"New Convo 2016-07-19 at 18:06:20.140",FALSE,TRUE,"2016-07-19 19:06:15.680313+00","2016-07-19 18:07:55.91265+00"
967,28,52,"New Convo 2016-07-19 at 17:41:10.659",FALSE,TRUE,"2016-07-19 19:29:31.679221+00","2016-07-19 17:42:46.40868+00"
1271,28,52,"Test",FALSE,TRUE,"2016-08-02 15:48:44.065711+00","2016-08-02 15:48:44.065711+00"
970,54,540,"Check In",TRUE,TRUE,"2016-07-19 20:30:05.732384+00","2016-07-19 19:56:42.926098+00"
1103,28,52,"New Convo 2016-07-28 at 01:48:45.124",FALSE,TRUE,"2016-07-28 15:53:16.226113+00","2016-07-28 01:50:31.694621+00"
1107,22,576,"New Convo 2016-07-28 at 14:13:55.884",FALSE,TRUE,"2016-07-28 16:27:13.937539+00","2016-07-28 14:15:43.126023+00"
1362,70,577,"New Convo 2016-08-05 at 15:05:39.443",TRUE,FALSE,"2016-08-26 21:42:56.560287+00","2016-08-05 15:07:37.145146+00"
1272,28,52,"Test",FALSE,TRUE,"2016-08-02 15:48:51.813529+00","2016-08-02 15:48:51.813529+00"
1361,58,367,"New Convo 2016-08-05 at 15:05:39.443",TRUE,FALSE,"2016-08-26 21:41:56.109327+00","2016-08-05 15:07:37.145146+00"
1185,70,604,"New Conversation on 07/29",TRUE,TRUE,"2016-07-29 16:34:20.846143+00","2016-07-29 16:34:20.846143+00"
1123,70,581,"New Convo 2016-07-28 at 19:31:59.523",FALSE,TRUE,"2016-07-28 19:34:27.340012+00","2016-07-28 19:33:47.052829+00"
1166,28,49,"New Convo 2016-07-28 at 23:12:29.302",FALSE,TRUE,"2016-07-28 23:16:38.753596+00","2016-07-28 23:14:17.032017+00"
1186,20,605,"New Conversation on 07/29",TRUE,TRUE,"2016-07-29 16:51:45.085139+00","2016-07-29 16:51:45.085139+00"
1135,66,511,"New Convo 2016-07-28 at 21:19:05.194",TRUE,TRUE,"2016-08-23 21:36:46.428593+00","2016-07-28 21:20:52.821851+00"
1188,70,607,"New Conversation on 07/29",TRUE,TRUE,"2016-07-29 17:02:54.916452+00","2016-07-29 17:02:54.916452+00"
1422,63,702,"Call for Assesssment",FALSE,TRUE,"2016-08-16 21:38:13.03732+00","2016-08-08 20:07:19.855498+00"
1133,22,570,"New Convo 2016-07-28 at 21:00:34.043",FALSE,TRUE,"2016-07-28 21:05:45.080352+00","2016-07-28 21:02:21.654713+00"
1187,66,606,"New Conversation on 07/29",FALSE,TRUE,"2016-08-05 19:20:40.717964+00","2016-07-29 16:55:12.360815+00"
